filename,event_labels
01_002625.wav,7-X;6-X;7;8-1;7-1;8;6
01_002637.wav,6-2;2;6-X;2-X;7;3;6-1;2-2;7-1;3-1;6
01_002644.wav,8-1;8
01_002666.wav,1-2;1-3;1
01_002675.wav,8-1;7-1;8;7
01_002700.wav,8-1;8
01_002719.wav,1-2;7-1;1;7
01_002722.wav,8-1;7-1;8;7
01_002740.wav,8-1;7;8;7-X
01_002742.wav,8-1;8
01_002779.wav,7-1;7
01_002793.wav,3;6-1;8-1;8;3-1;6
01_002832.wav,8-1;8
01_002837.wav,8-1;8
01_002915.wav,7-1;4-X;4;7
01_002957.wav,1-2;1
01_002974.wav,7-1;7-X;7
01_002996.wav,8-1;8
01_003012.wav,1-X;8-1;1;8
01_003013.wav,8-1;7-1;8;7
01_003034.wav,1-2;1-3;1
01_003043.wav,1-3;2;2-X;3;1;3-1
01_003084.wav,1-X;1;4;4-2
01_003107.wav,8-1;8
01_003133.wav,8-1;1-3;1;8
01_003166.wav,8-1;8
01_003182.wav,1-2;1
01_003255.wav,8-1;8
01_003262.wav,1-X;8-1;1;8
01_003273.wav,1-2;1-3;1
01_003292.wav,7;1;8-1;7-1;8;1-X
01_003296.wav,8-1;5;8;5-1
01_003297.wav,8-1;7-1;8;7
01_003300.wav,8-1;8
01_003301.wav,1-3;1-2;8-1;1;8
01_003317.wav,1-2;8-1;1;8
01_003322.wav,7-1;7
01_003396.wav,7-X;7;8-1;7-1;8
01_003399.wav,7-1;7-2;7
01_003425.wav,8-1;7-1;8;7
01_003445.wav,8-1;7-1;8;7
01_003453.wav,1-2;5;1;5-3
01_003455.wav,1-3;1;3-1;3
01_003513.wav,1-3;7;1;8-1;7-1;8
01_003534.wav,5;7-2;5-3;7;8-1;8
01_003573.wav,6-X;7;3;7-1;7-3;3-1;6
01_003583.wav,5;7;5-1;1;1-X;7-1
01_003597.wav,8-1;8
01_003600.wav,8-1;7-1;8;7
01_003601.wav,8-1;5;8;5-1
01_003613.wav,7-2;7;8-1;1;8;1-X
01_003652.wav,5;5-3;5-1
01_003670.wav,8-1;8
01_003694.wav,2-X;2
01_003700.wav,8-1;7-1;8;7
01_003775.wav,3;1-2;1-X;1;3-1
01_003776.wav,5;7;8-1;5-4;7-1;8
01_003777.wav,7;1;8-1;7-1;8;1-X
01_003785.wav,5;7-2;2;2-X;7;5-1;1-2;8-1;1;7-1;8
01_003788.wav,8-1;7-1;8;7
01_003797.wav,1-3;7;1-2;1;7-1
01_003864.wav,1-3;5;7;5-1;1-2;1-1;1;7-1
01_003888.wav,5;7-1;7;5-1
01_003889.wav,5;7;5-1;1-1;1;7-1
01_003924.wav,5;7;1-2;1;5-4;7-1
01_003934.wav,1-2;1-3;1
01_003942.wav,1-3;7-X;7;1;7-3
01_003967.wav,8-1;1;1-2;8
01_003968.wav,8-1;8
01_003982.wav,1-1;1;2;2-1
01_004034.wav,7-1;7
01_004054.wav,1-2;8-1;1-X;1;8
01_004055.wav,7-1;7
01_004072.wav,1-3;1
01_004105.wav,8-1;7-1;8;7
01_004111.wav,8-1;7-1;8;7
01_004177.wav,8-1;8
01_004179.wav,1-3;1
01_004190.wav,2;2-X;3;8-1;1;8;1-X;3-1
01_004196.wav,8-1;7-1;8;7
01_004210.wav,7;3;8-1;7-1;8;3-1
01_004235.wav,8-1;8
01_004293.wav,7-X;7;1-2;1;8-1;7-1;8
01_004295.wav,1-2;1-3;1;1-X
01_004296.wav,8-1;8;3-1;3
01_004309.wav,5;7-1;7;5-3
01_004345.wav,8-1;8
01_004365.wav,8-1;7-1;8;7
01_004396.wav,7-3;6-X;7;8-1;7-1;8;6
01_004399.wav,5;1-2;1-1;8-1;5-4;1;8
01_004402.wav,7;1-2;1;8-1;7-1;8
01_004406.wav,7;1-2;1;8-1;7-1;8
01_004431.wav,1-3;6-X;7;1;7-1;6
01_004443.wav,1-3;7;1-2;1-1;1;8-1;7-1;8
01_004445.wav,5;7-2;7;5-1;7-1
01_004493.wav,8-1;8
01_004505.wav,6;7-1;7;6-X
01_004506.wav,1-3;1-1;1;1-2
01_004550.wav,7-X;7;8-1;1-X;1;7-1;8
01_004555.wav,7-1;7
01_004598.wav,1-1;1-3;1
01_004606.wav,7-X;7;1-2;1;8-1;1-X;7-1;8
01_004622.wav,8-1;1;1-2;8
01_004624.wav,1-3;5;5-3;5-X;4-X;4;1
01_004629.wav,8-1;8
01_004668.wav,6-2;1-2;8-1;1;8;6
01_004680.wav,7-1;2;7;2-4
01_004682.wav,8-1;8
01_004686.wav,2-X;7-1;2;7
01_004700.wav,8-1;8
01_004712.wav,1-3;1-1;1
01_004736.wav,7-2;7-X;7;8-1;7-1;8
01_004739.wav,8-1;8
01_004757.wav,5;5-X;2-X;2
01_004782.wav,5;7-X;7;5-1;1-2;1;7-1
01_004795.wav,5;5-1;1-2;8-1;1;8
01_004803.wav,1-2;1;7;7-X
01_004807.wav,7-X;7;1-2;8-1;1;8
01_004855.wav,8-1;5;8;5-1
01_004882.wav,8-1;7-1;8;7
01_004886.wav,1-2;1
01_004888.wav,8-1;7-1;8;7
01_004909.wav,1-X;1;1-2
01_004922.wav,8-1;8
01_004930.wav,1-2;8-1;1;8
01_004963.wav,1-X;8-1;1;8
01_004980.wav,7-1;7-3;7
01_004993.wav,1-1;1
01_005001.wav,8-1;7-1;8;7
01_005015.wav,1-2;1;1-X
01_005019.wav,1-2;1;4;4-3
01_005057.wav,1-X;1-1;1
01_005061.wav,7-1;7
01_005088.wav,1-3;7-1;1;7
01_005104.wav,7-X;7;1-2;8-1;1-X;1;7-1;8
01_005115.wav,4;4-2
01_005120.wav,5;7;5-1;7-1;7-3
01_005124.wav,7-X;7;8-1;7-1;8
01_005133.wav,7;1;8-1;7-1;8;1-X
01_005145.wav,2;7-X;2-X;4;7;4-3;1-2;1;8-1;7-1;8
01_005165.wav,7;1;8-1;7-1;8;1-X
01_005168.wav,1-3;1;3-1;3
01_005169.wav,8-1;8;3-1;3
01_005192.wav,5;5-3
01_005206.wav,5;5-3
01_005210.wav,8-1;7-1;8;7
01_005225.wav,5;7-2;7-X;5-X;7;7-1
01_005246.wav,8-1;8
01_005247.wav,5;1-2;8-1;5-4;1;8
01_005255.wav,1-3;7-X;7;1-2;1
01_005271.wav,8-1;8;7-2;7
01_005280.wav,1-3;5;7-2;7;1-2;1;8-1;5-4;7-1;8
01_005300.wav,7-1;3-1;7;3
01_005320.wav,1-3;1
01_005323.wav,6;7-2;7;6-X
01_005324.wav,4;4-2;3;4-1;3-1
01_005329.wav,7-2;7-1;7-3;7
01_005336.wav,1-2;8-1;1;8
01_005338.wav,6-2;6-X;6-1;6
01_005344.wav,1-3;7-2;7-X;2;2-X;7;1;8-1;7-1;8
01_005354.wav,8-1;7-1;8;7
01_005387.wav,2-X;1;2;1-1
01_005398.wav,2;2-X;4;4-3;8-1;8
01_005428.wav,8-1;1;1-2;8
01_005430.wav,8-1;7-1;8;7
01_005444.wav,8-1;7-1;8;7
01_005447.wav,7;1-2;1;8-1;7-1;8
01_005457.wav,5;1;1-1;5-1
01_005462.wav,5;2;7-X;7;5-1;2-4;8-1;8
01_005467.wav,2-X;2
01_005497.wav,7-2;7-X;7;8-1;8
01_005499.wav,8-1;8
01_005503.wav,8-1;8;3-1;3
01_005507.wav,7-1;7-X;7
01_005530.wav,7;1-2;1;7-1;7-3
01_005542.wav,1-3;2;2-X;1-X;1
01_005556.wav,5;5-3;7;8-1;7-1;8
01_005583.wav,8-1;1;1-2;8
01_005600.wav,7-4;7-2;7-X;7;1-2;1;8-1;7-1;8
01_005603.wav,8-1;7-1;8;7
01_005610.wav,8-1;8
01_005641.wav,7-2;7;1-2;8-1;1-X;1;7-1;8
01_005659.wav,8-1;8
01_005676.wav,8-1;7;8;7-X
01_005682.wav,1-2;1
01_005701.wav,1-2;8-1;1;8
01_005703.wav,8-1;8
01_005739.wav,1-3;1
01_005743.wav,8-1;8
01_005745.wav,7-2;7;3;8-1;7-1;8;3-1
01_005755.wav,7;1-2;1;8-1;7-1;8
01_005778.wav,1-3;5;2;7-X;7;2-3;8-1;5-4;1;8
01_005785.wav,2;2-1
01_005790.wav,1-2;7-1;1;7
01_005796.wav,8-1;7-1;8;7
01_005800.wav,7-1;7-X;7
01_005810.wav,6-X;7;8-1;7-1;8;6
01_005819.wav,1-3;7-X;7;1;7-1
01_005849.wav,7-2;6-X;7;7-1;7-3;6
01_005870.wav,5;7-X;7;5-1;7-1
01_005883.wav,8-1;8
01_005898.wav,8-1;5;8;5-1
01_005942.wav,6;7;3;8-1;7-1;8;3-1;6-1
01_005961.wav,1-X;7-1;1;7
01_005976.wav,1-2;1
01_005985.wav,1-2;7-1;1;7
01_005986.wav,8-1;5;8;5-1
01_005988.wav,1-3;7;3;1;8-1;7-1;8;3-1
01_005993.wav,7;1-1;1;8-1;7-1;8
01_006005.wav,1-3;1;4;4-3
01_006011.wav,7-1;7
01_006019.wav,1-3;1
01_006042.wav,1-2;8-1;1;8;1-X
01_006054.wav,6-2;5;6-X;5-1;6
01_006065.wav,8-1;4;8;4-2
01_006070.wav,7;1-2;1;8-1;7-1;8
01_006107.wav,1-3;7-1;1;7
01_006119.wav,8-1;7-1;8;7
01_006140.wav,8-1;7-1;8;7
01_006152.wav,1-2;8-1;1;8
01_006161.wav,8-1;7-1;8;7
01_006164.wav,8-1;7-1;8;7
01_006192.wav,1-3;1
01_006214.wav,7-1;7
01_006219.wav,1-2;5;1;5-3
01_006239.wav,1-3;5;5-X;4;4-2;1-2;1
01_006251.wav,7;1-2;1;8-1;7-1;8
01_006260.wav,1-3;1
01_006264.wav,5;7-X;6-X;7;5-1;6
01_006276.wav,7-1;7-2;7
01_006290.wav,8-1;7-1;8;7
01_006299.wav,7-1;7
01_006310.wav,6;7-1;7;6-X
01_006315.wav,1-2;1-1;8-1;1;8
01_006318.wav,5;5-1
01_006339.wav,7;1-2;1;8-1;1-X;7-1;8
01_006347.wav,5;5-1
01_006352.wav,8-1;8
01_006356.wav,5;5-3
01_006357.wav,2-X;2
01_006366.wav,8-1;8
01_006387.wav,7-1;7
01_006398.wav,5;5-3
01_006476.wav,7-1;7-3;7
01_006485.wav,8-1;8
01_006489.wav,1-2;1-3;1
01_006501.wav,1-X;7-1;1;7
01_006527.wav,8-1;8
01_006541.wav,7-2;7;1-2;1;7-1
01_006544.wav,1-X;8-1;1;8
01_006577.wav,8-1;1-3;1;8
01_006588.wav,8-1;8
01_006591.wav,8-1;8;3-1;3
01_006600.wav,7-2;7-X;6-X;7;8-1;7-1;8;6
01_006610.wav,7-1;7-4;7
01_006629.wav,1-3;7;1;8-1;7-1;8
01_006637.wav,8-1;1-3;1;8
01_006644.wav,8-1;5;5-X;8
01_006655.wav,1-2;1-3;1
01_006688.wav,8-1;8
01_006695.wav,1-3;1
01_006715.wav,7-X;7;3;1-1;1;8-1;7-1;8;3-1
01_006792.wav,7-2;7;8-1;7-1;8
01_006807.wav,1-3;5;5-X;5-4;1
01_006808.wav,8-1;8
01_006810.wav,7-1;4;7;4-2
01_006811.wav,1-2;1-1;1
01_006814.wav,3;6-1;8-1;8;3-1;6
01_006815.wav,6;6-X;3-1;3
01_006819.wav,1-2;1-3;1
01_006824.wav,1-3;7-2;7-X;7;1-2;8-1;1;8
01_006843.wav,1-X;7-1;1;7
01_006868.wav,1-2;8-1;1;8
01_006870.wav,2-X;2
01_006885.wav,8-1;8
01_006899.wav,3;1-2;8-1;1;8;3-1
01_006908.wav,3-1;3
01_006910.wav,5;1-3;1-1;8-1;5-4;1;8
01_006922.wav,7-2;7-X;7;8-1;8
01_006923.wav,8-1;8
01_006939.wav,1-3;2;2-X;7;1;7-1
01_006998.wav,8-1;8
01_007002.wav,4-X;4;7;8-1;7-1;8
01_007007.wav,8-1;8
01_007018.wav,7-1;7
01_007038.wav,1-2;1
01_007046.wav,7-1;7
01_007053.wav,3-1;3
01_007055.wav,5;5-2;5-3
01_007058.wav,1-3;1
01_007084.wav,8-1;8
01_007102.wav,1-2;1-3;1
01_007103.wav,1-3;1
01_007115.wav,8-1;1;1-2;8
01_007141.wav,1-3;2;2-X;8-1;1;8
01_007147.wav,8-1;7-1;8;7
01_007158.wav,1-2;7-1;1;7
01_007178.wav,7-X;7;1-2;8-1;1;8
01_007180.wav,7-1;7-2;7
01_007196.wav,7-1;7
01_007198.wav,8-1;1;1-2;8
01_007236.wav,1-3;1-2;8-1;1;8
01_007252.wav,7;1-2;8-1;1-X;1;7-1;8
01_007254.wav,8-1;8
01_007296.wav,7;3;8-1;7-1;8;3-1
01_007300.wav,8-1;1-3;1;8
01_007307.wav,1-2;1-1;1
01_007314.wav,8-1;8
01_007337.wav,8-1;8;3-1;3
01_007339.wav,8-1;1;1-2;8
01_007344.wav,8-1;8
01_007348.wav,8-1;1-3;1;8
01_007353.wav,8-1;8
01_007358.wav,1-3;1
01_007359.wav,5;6;7-X;7;5-1;8-1;5-4;8;6-1
01_007383.wav,7-X;7;8-1;7-1;8
01_007399.wav,2;4;8-1;4-1;8;2-2
01_007429.wav,8-1;5;5-X;8
01_007438.wav,8-1;7-1;8;7
01_007449.wav,6-2;8-1;1-X;1;8;6
01_007450.wav,8-1;7-1;8;7
01_007456.wav,7-1;7
01_007458.wav,8-1;7-1;8;7
01_007516.wav,6-X;7;1-2;8-1;1;7-1;8;6
01_007517.wav,7;1-2;1;8-1;7-1;8
01_007519.wav,8-1;7-1;8;7
01_007525.wav,8-1;7-1;8;7
01_007532.wav,3;8-1;1;8;1-X;3-1
01_007549.wav,7;3;8-1;7-1;8;3-1
01_007552.wav,5;7-X;7;3;1-X;5-4;1;3-1
01_007559.wav,5;5-X;5-1;8-1;8
01_007563.wav,1-2;1-3;1
01_007602.wav,6-1;6;6-X
01_007608.wav,8-1;8
01_007613.wav,5;2;5-3;2-X;3;3-1
01_007618.wav,5;1-3;5-1;8-1;5-4;1;8
01_007629.wav,8-1;8
01_007657.wav,8-1;7-1;8;7
01_007670.wav,1-2;8-1;1;8
01_007683.wav,8-1;8
01_007685.wav,1-2;1
01_007694.wav,8-1;8
01_007695.wav,8-1;8
01_007705.wav,6;7-2;7;8-1;8;6-1
01_007706.wav,8-1;5;5-X;8
01_007711.wav,7;3;8-1;7-1;8;3-1
01_007718.wav,8-1;8
01_007719.wav,6;3;3-1;6-1
01_007721.wav,8-1;8;3-1;3
01_007725.wav,8-1;8
01_007754.wav,8-1;7;8;7-X
01_007772.wav,8-1;8
01_007787.wav,4;4-2;4-3
01_007795.wav,8-1;7-1;8;7
01_007801.wav,8-1;8;3-1;3
01_007802.wav,8-1;8
01_007816.wav,8-1;8
01_007818.wav,8-1;8
01_007824.wav,1-3;1
01_007836.wav,1-3;1-2;8-1;1;8
01_007838.wav,1-3;4;7;4-3;1-1;1;7-1
01_007857.wav,8-1;8
01_007859.wav,8-1;8
01_007862.wav,7-2;7;1-2;1;7-1
01_007883.wav,5;5-X;7;1-2;1;7-1;7-3
01_007891.wav,8-1;6;8;6-1
01_007907.wav,8-1;7-1;8;7
01_007917.wav,5-4;5;5-1
01_007918.wav,7-1;7
01_007925.wav,8-1;7-1;8;7
01_007933.wav,1-2;1
01_007936.wav,1-3;7-4;7-X;7;1;7-1
01_007940.wav,1-X;7-1;1;7
01_007956.wav,8-1;8
01_007959.wav,1-2;1
01_007964.wav,8-1;8
01_007970.wav,7-X;7;8-1;1-X;1;7-1;8
01_007985.wav,8-1;7-1;8;7
01_007987.wav,7;3;8-1;7-1;8;3-1
01_007995.wav,5;7;5-1;1-2;1;8-1;7-1;8
01_008003.wav,8-1;8
01_008017.wav,8-1;8
01_008023.wav,8-1;8
01_008027.wav,8-1;8;7-2;7
01_008034.wav,6-2;6;6-X;7;8-1;7-1;8;6-1
01_008042.wav,8-1;7-1;8;7
01_008067.wav,8-1;8
01_008070.wav,5;2;2-X;5-X;1-2;1
01_008092.wav,1-1;7-1;1;7
01_008099.wav,1-3;7-1;1;7
01_008125.wav,1-3;2;7;1-1;1;7-1;2-2
01_008131.wav,8-1;2;8;2-1
01_008145.wav,8-1;7-1;8;7
01_008162.wav,8-1;8
01_008183.wav,8-1;7-1;8;7
01_008190.wav,1-2;1-1;8-1;1;8
01_008196.wav,8-1;7-1;8;7
01_008200.wav,8-1;8
01_008210.wav,5;5-3;7;8-1;7-1;8
01_008216.wav,7-X;7;8-1;7-1;8
01_008226.wav,1-3;1
01_008241.wav,1-2;8-1;1;8
01_008260.wav,6;7-X;7;3;8-1;8;3-1;6-1
01_008273.wav,7-1;7
01_008280.wav,8-1;1-3;1;8
01_008286.wav,8-1;8
01_008289.wav,7-1;7;3-1;3
01_008291.wav,8-1;8
01_008294.wav,8-1;7-1;8;7
01_008298.wav,1-2;1-3;1
01_008301.wav,6-2;1-1;8-1;1;8;6
01_008303.wav,7-1;7
01_008318.wav,1-X;1;4;4-3
01_008328.wav,8-1;8
01_008329.wav,8-1;8
01_008343.wav,7-2;7;8-1;7-1;8
01_008350.wav,7-3;7;1-2;8-1;1;8
01_008356.wav,7-X;4;7;4-2;8-1;7-1;8
01_008397.wav,8-1;8
01_008402.wav,7-X;7;1-2;6-1;1;1-X;7-1;6
01_008412.wav,5;5-3;1-2;5-4;1
01_008445.wav,8-1;8
01_008469.wav,4;7;4-2;4-3;8-1;7-1;8
01_008479.wav,7;3;1-2;1;7-1;3-1
01_008491.wav,2;2-X;1-2;8-1;1;8
01_008507.wav,5;5-1;6-1;8-1;8;6
01_008520.wav,1-2;2-X;1;2
01_008522.wav,6-X;7;6-1;8-1;7-1;8;6
01_008543.wav,8-1;8
01_008552.wav,1-3;5;7-X;5-X;7;1;7-1
01_008566.wav,1-3;7;1;8-1;7-1;8
01_008589.wav,7-X;7;1-1;1;8-1;7-1;8
01_008599.wav,7-1;7-X;7
01_008605.wav,8-1;1-3;1;8
01_008609.wav,7;3;1-2;1;8-1;7-1;8;3-1
01_008616.wav,3-1;3
01_008632.wav,7-X;7;3;8-1;7-1;8;3-1
01_008636.wav,1-3;4-X;4;7;4-2;1-2;1-1;1;7-1
01_008646.wav,7-1;7-X;7
01_008648.wav,8-1;8
01_008657.wav,1-1;1
01_008658.wav,8-1;7-1;8;7
01_008662.wav,1-X;1;2;2-1
01_008693.wav,7-2;7-X;7;8-1;8
01_008695.wav,1-3;7;1;8-1;7-1;8
01_008700.wav,8-1;8
01_008705.wav,8-1;8
01_008749.wav,8-1;8
01_008754.wav,8-1;7-1;8;7
01_008755.wav,7-1;7
01_008757.wav,8-1;8;3-1;3
01_008759.wav,7;1-1;1;8-1;7-1;8
01_008770.wav,8-1;8
01_008774.wav,5;5-3;5-1
01_008781.wav,1-1;1;7;7-X
01_008795.wav,1-3;7;1-2;1-1;1;8-1;7-1;8
01_008798.wav,8-1;8
01_008826.wav,8-1;8
01_008833.wav,8-1;8
01_008835.wav,1-3;3;8-1;1-X;1;8;3-1
01_008838.wav,5;5-1;1-2;3;8-1;1;8;3-1
01_008846.wav,7-X;7;1-2;1;8-1;7-1;8
01_008890.wav,8-1;8
01_008895.wav,2;2-X;4-X;4;4-2
01_008900.wav,8-1;7-1;8;7
01_008905.wav,6;7-1;7;6-1
01_008906.wav,7-X;7;8-1;7-1;8
01_008910.wav,7;1-1;1;8-1;7-1;8
01_008914.wav,8-1;8
01_008918.wav,7-X;7;3;1-2;1;8-1;7-1;8;3-1
01_008921.wav,8-1;8
01_008935.wav,5;1-3;7-2;7-X;5-X;7;1-2;8-1;1;8
01_008943.wav,1-3;4;4-2;4-1;1
01_008948.wav,8-1;7;8;7-X
01_008963.wav,7;1-2;1;8-1;7-1;8
01_008966.wav,8-1;8
01_009007.wav,7-X;7;8-1;7-1;8
01_009009.wav,8-1;7-1;8;7
01_009016.wav,3;8-1;1-X;1;8;3-1
01_009039.wav,8-1;8
01_009040.wav,7-X;7;1-2;1;7-1
01_009073.wav,7;3;8-1;7-1;8;3-1
01_009080.wav,5;7-3;7;5-3
01_009090.wav,8-1;5;8;5-1
01_009102.wav,8-1;8
01_009111.wav,8-1;8
01_009119.wav,7-2;7;1-1;8-1;1;8
01_009128.wav,8-1;1-X;1;8
01_009212.wav,3;1-2;8-1;1;8;3-1
01_009221.wav,8-1;7-1;8;7
01_009237.wav,8-1;7-1;8;7
01_009254.wav,5;5-3;7;8-1;7-1;8
01_009260.wav,7-2;7;8-1;1-X;1;8
01_009274.wav,5;5-X;7;8-1;7-1;8
01_009303.wav,8-1;8
01_009304.wav,7;1-2;1-1;1;8-1;7-1;8
01_009309.wav,8-1;7-1;8;7
01_009320.wav,7-2;7;1-2;1;7-1
01_009325.wav,8-1;8
01_009352.wav,5;5-3;1-2;1-1;8-1;1;8
01_009359.wav,1-2;8-1;1;8
01_009363.wav,8-1;7-1;8;7
01_009378.wav,1-2;8-1;1;8
01_009388.wav,1-2;1
01_009389.wav,1-2;1
01_009395.wav,8-1;8
01_009413.wav,8-1;1;1-2;8
01_009419.wav,8-1;8
01_009453.wav,7;1-2;1-1;1;7-1
01_009459.wav,8-1;8
01_009480.wav,8-1;8
01_009484.wav,7-1;7
01_009487.wav,8-1;1;1-2;8
01_009501.wav,2;7;2-1;8-1;7-1;8
01_009509.wav,8-1;8
01_009538.wav,8-1;6;8;6-X
